Temperature (K),Pressure (MPa),Density (mol/l),Volume (l/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
578.15,0.5,0.10964,9.1205,76.603,81.163,177.32,271.63,282.54,211.76,6.7205,11.483,0.044335,vapor
583.15,0.5,0.10851,9.2156,77.972,82.58,179.76,273.19,284.01,213.01,6.5306,11.579,0.044947,vapor
588.15,0.5,0.10741,9.3103,79.348,84.003,182.19,274.75,285.49,214.24,6.3494,11.675,0.045563,vapor
593.15,0.5,0.10633,9.4047,80.732,85.435,184.61,276.29,286.96,215.46,6.1764,11.77,0.04618,vapor
598.15,0.5,0.10528,9.4988,82.124,86.873,187.03,277.83,288.42,216.66,6.0111,11.866,0.046799,vapor
298.15,1.0,6.7912,0.14725,-17.696,-17.549,-52.907,177.83,224.93,1139.2,-0.41269,394.03,0.12264,liquid
303.15,1.0,6.749,0.14817,-16.567,-16.419,-49.151,179.6,226.84,1117.7,-0.40491,373.48,0.12114,liquid
308.15,1.0,6.7065,0.14911,-15.429,-15.28,-45.424,181.4,228.78,1096.3,-0.39691,354.49,0.11965,liquid
313.15,1.0,6.6639,0.15006,-14.281,-14.131,-41.726,183.22,230.76,1075.1,-0.38867,336.9,0.11817,liquid
318.15,1.0,6.6209,0.15104,-13.124,-12.973,-38.055,185.07,232.77,1053.9,-0.38018,320.58,0.11669,liquid
323.15,1.0,6.5777,0.15203,-11.956,-11.804,-34.409,186.93,234.8,1032.9,-0.37144,305.38,0.11523,liquid
328.15,1.0,6.5341,0.15304,-10.777,-10.624,-30.788,188.81,236.87,1012.0,-0.36242,291.21,0.11378,liquid
333.15,1.0,6.4902,0.15408,-9.589,-9.4349,-27.19,190.71,238.96,991.24,-0.35312,277.96,0.11233,liquid
338.15,1.0,6.446,0.15513,-8.3899,-8.2348,-23.615,192.62,241.08,970.56,-0.34351,265.55,0.1109,liquid
343.15,1.0,6.4014,0.15622,-7.1802,-7.024,-20.061,194.53,243.23,949.98,-0.33356,253.9,0.10948,liquid
348.15,1.0,6.3563,0.15732,-5.9598,-5.8025,-16.527,196.46,245.39,929.5,-0.32326,242.94,0.10807,liquid
353.15,1.0,6.3108,0.15846,-4.7285,-4.57,-13.012,198.4,247.58,909.1,-0.31257,232.62,0.10667,liquid
358.15,1.0,6.2649,0.15962,-3.4862,-3.3266,-9.5156,200.34,249.8,888.8,-0.30145,222.89,0.10529,liquid
363.15,1.0,6.2184,0.16081,-2.2328,-2.072,-6.0369,202.29,252.04,868.57,-0.28987,213.68,0.10392,liquid
368.15,1.0,6.1714,0.16204,-0.9682,-0.80617,-2.575,204.24,254.3,848.42,-0.27778,204.96,0.10256,liquid
373.15,1.0,6.1239,0.1633,0.30775,0.47105,0.87091,206.19,256.59,828.34,-0.26513,196.7,0.10121,liquid
378.15,1.0,6.0757,0.16459,1.5952,1.7598,4.3016,208.15,258.9,808.32,-0.25185,188.85,0.099875,liquid
383.15,1.0,6.0268,0.16592,2.8942,3.0601,7.7177,210.11,261.24,788.35,-0.23788,181.38,0.098552,liquid
388.15,1.0,5.9773,0.1673,4.205,4.3723,11.12,212.06,263.62,768.42,-0.22313,174.27,0.097241,liquid
393.15,1.0,5.927,0.16872,5.5276,5.6963,14.51,214.02,266.02,748.52,-0.20753,167.49,0.095941,liquid
398.15,1.0,5.8758,0.17019,6.8623,7.0325,17.887,215.97,268.46,728.65,-0.19095,161.01,0.094653,liquid
403.15,1.0,5.8238,0.17171,8.2093,8.381,21.253,217.93,270.95,708.78,-0.17328,154.8,0.093376,liquid
408.15,1.0,5.7708,0.17328,9.5688,9.7421,24.608,219.88,273.47,688.9,-0.15438,148.86,0.09211,liquid
413.15,1.0,5.7168,0.17492,10.941,11.116,27.953,221.83,276.05,669.0,-0.13407,143.16,0.090854,liquid
418.15,1.0,5.6617,0.17662,12.326,12.503,31.29,223.78,278.69,649.06,-0.11215,137.68,0.089607,liquid
423.15,1.0,5.6054,0.1784,13.725,13.903,34.618,225.73,281.4,629.06,-0.088383,132.41,0.088368,liquid
428.15,1.0,5.5477,0.18026,15.137,15.317,37.94,227.67,284.18,608.98,-0.062479,127.33,0.087137,liquid
433.15,1.0,5.4885,0.1822,16.563,16.745,41.256,229.62,287.06,588.78,-0.034084,122.42,0.085913,liquid
438.15,1.0,5.4277,0.18424,18.003,18.188,44.568,231.56,290.05,568.43,-0.0027628,117.68,0.084693,liquid
443.15,1.0,5.3651,0.18639,19.459,19.646,47.877,233.51,293.16,547.9,0.032026,113.08,0.083477,liquid
448.15,1.0,5.3005,0.18866,20.931,21.119,51.184,235.46,296.43,527.15,0.070968,108.62,0.082261,liquid
453.15,1.0,5.2336,0.19107,22.419,22.61,54.492,237.41,299.89,506.11,0.11494,104.27,0.081045,liquid
458.15,1.0,5.164,0.19365,23.925,24.119,57.803,239.37,303.58,484.72,0.1651,100.03,0.079825,liquid
463.15,1.0,5.0915,0.19641,25.45,25.646,61.119,241.34,307.56,462.91,0.22297,95.876,0.078596,liquid
468.15,1.0,5.0155,0.19938,26.996,27.195,64.444,243.32,311.91,440.56,0.29066,91.799,0.077356,liquid
473.15,1.0,4.9354,0.20262,28.564,28.766,67.783,245.33,316.74,417.53,0.37115,87.776,0.076099,liquid
